Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Alex Pereira,Jamahal Hill,Light Heavyweight,KO/TKO Punch,1,3:14,Win,83%,12,10,2,0,5.1,62%,3.65,50%,0.18,100%,70%,0.4,86%,14,12,2,0,7.18,54%,3.51,46%,0,0%,73%,0
Zhang Weili,Yan Xiaonan,Women's Strawweight,U-DEC,5,5:00,Win,89%,28,25,3,0,5.66,53%,3.15,53%,2.51,46%,50%,0.5,82%,22,18,4,0,4.97,44%,3.66,58%,1,73%,62%,0
Max Holloway,Justin Gaethje,Lightweight,KO/TKO Punch,5,4:59,Win,79%,33,26,7,0,7.17,48%,4.72,59%,0.25,53%,84%,0.3,83%,30,25,5,0,6.78,59%,7.46,52%,0.11,25%,75%,0
Arman Tsarukyan,Charles Oliveira,Lightweight,S-DEC,3,5:00,Win,88%,25,22,3,0,3.79,48%,1.84,53%,3.25,37%,75%,0,77%,44,34,10,0,3.39,53%,3.2,51%,2.17,40%,55%,2.8
Bo Nickal,Cody Brundage,Middleweight,SUB Rear Naked Choke,2,3:38,Win,100%,6,6,0,0,1.64,62%,0.5,70%,7.46,50%,0%,7.5,63%,16,10,6,0,1.62,54%,2.3,43%,2.33,52%,68%,0.9
Jiri Prochazka,Aleksandar Rakic,Light Heavyweight,KO/TKO Punches,2,3:17,Win,86%,35,30,4,1,5.75,56%,5.43,41%,0.79,60%,68%,0.3,78%,18,14,4,0,4.26,50%,2.8,50%,0.76,25%,85%,0.1
Aljamain Sterling,Calvin Kattar,Featherweight,U-DEC,3,5:00,Win,86%,28,24,4,0,4.61,52%,2.3,58%,2.31,27%,45%,0.7,74%,31,23,8,0,4.76,39%,6.75,54%,0.39,29%,72%,0.1
Kayla Harrison,Holly Holm,Women's Bantamweight,SUB Rear Naked Choke,2,1:47,Win,94%,18,17,1,0,7.52,71%,0.29,83%,4.42,40%,100%,2.2,68%,22,15,7,0,3.13,40%,2.92,55%,0.87,30%,76%,0.1
Diego Lopes,Sodiq Yusuff,Featherweight,KO/TKO Punches,1,1:29,Win,80%,30,24,6,0,3.22,58%,4.73,37%,0,0%,42%,5,76%,17,13,4,0,5.66,49%,4.51,53%,0.28,20%,62%,0.4
Renato Moicano,Jalin Turner,Lightweight,KO/TKO Punches,2,4:11,Win,76%,25,19,5,1,4.38,48%,3.68,60%,1.89,45%,72%,0.6,64%,22,14,8,0,5.6,48%,4.57,41%,0.79,55%,74%,1.1
