Fighter1,Fighter2
Alexandre Pantoja,Steve Erceg
Jonathan Martinez,Jose Aldo
Anthony Smith,Vitor Petrino
Michel Pereira,Ihor Potieria
Paul Craig,Caio Borralho
Jack Shore,Joanderson Brito
Karolina Kowalkiewicz,Iasmin Lucindo
Elves Brener,Myktybek Orolbai
Jean Silva,William Gomis
Joaquim Silva,Drakkar Klose
Mauricio Ruffy,Jamie Mullarkey
Dione Barbosa,Ernesta Kareckaite
Ismael Bonfim,Vinc Pichel
Alessandro Costa,Kevin Borjas
Derrick Lewis,Rodrigo Nascimento
Alonzo Menifield,Carlos Ulberg
Alex Caceres,Sean Woodson
Waldo Cortes-Acosta,Robelis Despaigne
Chase Hooper,Viacheslav Borshchev
Terrance McKinney,Esteban Ribovics
Tabatha Ricci,Tecia Pennington
Billy Goff,Trey Waters
Charles Johnson,Jake Hadley
Jared Gooden,Kevin Jousset
JJ Aldrich,Veronica Hardy
Edson Barboza,Lerone Murphy
Khaos Williams,Carlston Harris
Oumar Sy,Rodolfo Bellato
Adrian Yanez,Vinicius Salvador
Luana Pinheiro,Angela Hill
Themba Gorimbo,Ramiz Brahimaj
Abus Magomedov,Warlley Alves
Victor Martinez,Tom Nolan
Hailey Cowan,Tamires Vidal
Piera Rodriguez,Ariane Carnelossi
Vanessa Demopoulos,Emily Ducote
Tim Elliott,Tatsuro Taira
Islam Makhachev,Dustin Poirier
Sean Strickland,Paulo Costa
Randy Brown,Elizeu Zaleski dos Santos
Cesar Almeida,Roman Kopylov
Sumudaerji,Joshua Van
HyunSung Park,Andre Lima
Niko Price,Jeremiah Wells
Jailton Almeida,Alexandr Romanov
Roman Dolidze,Anthony Hernandez
Mickey Gall,Bassil Hafez
Phil Rowe,Jake Matthews
Grant Dawson,Joe Solecki
Ailin Perez,Joselyne Edwards
Brad Katona,Jesse Butler
Cody Stamann,Taylor Lapilus
Raul Rosas Jr.,Ricky Turcios
Miguel Baeza,Punahele Soriano
Thiago Moises,Ludovit Klein
Dominick Reyes,Dustin Jacoby
Charles Radtke,Carlos Prates
Brunno Ferreira,Dustin Stoltzfus
John Castaneda,Daniel Marcos
Eduarda Moura,Denise Gomes
Julian Marquez,Zach Reese
Andrea Lee,Montana De La Rosa
Rayanne dos Santos,Puja Tomar
Robert Whittaker,Khamzat Chimaev
Kelvin Gastelum,Daniel Rodriguez
Shara Magomedov,Ihor Potieria
Johnny Walker,Volkan Oezdemir
Sergei Pavlovich,Alexander Volkov
Conor McGregor,Michael Chandler
Joe Pyfer,Marc-Andre Barriault
Michelle Waterson-Gomez,Gillian Robertson
Mayra Bueno Silva,Macy Chiasson
Cub Swanson,Andre Fili
Jamahal Hill,Khalil Rountree Jr.
Rei Tsuruya,Carlos Hernandez
